DATAFLOW,LAST UPDATE,freq,unit,citizen,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AE,F,TOTAL,FR,2015,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AE,F,TOTAL,FR,2016,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AE,F,TOTAL,FR,2017,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AE,F,TOTAL,FR,2019,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AE,F,Y18-34,FR,2015,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AE,F,Y18-34,FR,2016,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AE,F,Y18-34,FR,2017,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AE,F,Y18-34,FR,2019,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AE,F,Y35-64,FR,2015,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AE,F,Y35-64,FR,2016,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AE,F,Y35-64,FR,2017,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AE,F,Y35-64,FR,2019,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AE,F,Y_GE65,FR,2015,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AE,F,Y_GE65,FR,2016,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AE,F,Y_GE65,FR,2017,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AE,F,Y_GE65,FR,2019,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AE,F,Y_LT18,FR,2015,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AE,F,Y_LT18,FR,2016,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AE,F,Y_LT18,FR,2017,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AE,F,Y_LT18,FR,2019,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AE,M,TOTAL,FR,2015,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AE,M,TOTAL,FR,2016,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AE,M,TOTAL,FR,2017,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AE,M,TOTAL,FR,2019,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AE,M,Y18-34,FR,2015,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AE,M,Y18-34,FR,2016,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AE,M,Y18-34,FR,2017,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AE,M,Y18-34,FR,2019,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AE,M,Y35-64,FR,2015,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AE,M,Y35-64,FR,2016,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AE,M,Y35-64,FR,2017,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AE,M,Y35-64,FR,2019,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AE,M,Y_GE65,FR,2015,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AE,M,Y_GE65,FR,2016,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AE,M,Y_GE65,FR,2017,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AE,M,Y_GE65,FR,2019,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AE,M,Y_LT18,FR,2015,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AE,M,Y_LT18,FR,2016,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AE,M,Y_LT18,FR,2017,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AE,M,Y_LT18,FR,2019,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AE,T,TOTAL,FR,2015,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AE,T,TOTAL,FR,2016,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AE,T,TOTAL,FR,2017,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AE,T,TOTAL,FR,2019,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AE,T,Y18-34,FR,2015,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AE,T,Y18-34,FR,2016,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AE,T,Y18-34,FR,2017,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AE,T,Y18-34,FR,2019,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AE,T,Y35-64,FR,2015,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AE,T,Y35-64,FR,2016,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AE,T,Y35-64,FR,2017,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AE,T,Y35-64,FR,2019,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AE,T,Y_GE65,FR,2015,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AE,T,Y_GE65,FR,2016,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AE,T,Y_GE65,FR,2017,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AE,T,Y_GE65,FR,2019,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AE,T,Y_LT18,FR,2015,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AE,T,Y_LT18,FR,2016,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AE,T,Y_LT18,FR,2017,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AE,T,Y_LT18,FR,2019,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AF,F,TOTAL,FR,2015,20,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AF,F,TOTAL,FR,2016,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AF,F,TOTAL,FR,2017,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AF,F,TOTAL,FR,2018,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AF,F,TOTAL,FR,2019,5,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AF,F,Y18-34,FR,2015,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AF,F,Y18-34,FR,2016,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AF,F,Y18-34,FR,2017,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AF,F,Y18-34,FR,2018,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AF,F,Y18-34,FR,2019,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AF,F,Y35-64,FR,2015,5,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AF,F,Y35-64,FR,2016,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AF,F,Y35-64,FR,2017,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AF,F,Y35-64,FR,2019,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AF,F,Y_GE65,FR,2015,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AF,F,Y_GE65,FR,2016,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AF,F,Y_GE65,FR,2017,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AF,F,Y_GE65,FR,2019,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AF,F,Y_LT18,FR,2015,10,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AF,F,Y_LT18,FR,2016,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AF,F,Y_LT18,FR,2017,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AF,F,Y_LT18,FR,2019,5,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AF,M,TOTAL,FR,2015,10,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AF,M,TOTAL,FR,2016,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AF,M,TOTAL,FR,2017,5,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AF,M,TOTAL,FR,2018,5,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AF,M,TOTAL,FR,2019,5,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AF,M,Y18-34,FR,2015,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AF,M,Y18-34,FR,2016,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AF,M,Y18-34,FR,2017,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AF,M,Y18-34,FR,2019,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AF,M,Y35-64,FR,2015,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AF,M,Y35-64,FR,2016,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AF,M,Y35-64,FR,2017,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AF,M,Y35-64,FR,2018,5,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AF,M,Y35-64,FR,2019,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AF,M,Y_GE65,FR,2015,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AF,M,Y_GE65,FR,2016,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AF,M,Y_GE65,FR,2017,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AF,M,Y_GE65,FR,2019,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AF,M,Y_LT18,FR,2015,5,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AF,M,Y_LT18,FR,2016,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AF,M,Y_LT18,FR,2017,5,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AF,M,Y_LT18,FR,2018,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AF,M,Y_LT18,FR,2019,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AF,T,TOTAL,FR,2015,25,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AF,T,TOTAL,FR,2016,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AF,T,TOTAL,FR,2017,10,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AF,T,TOTAL,FR,2018,5,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AF,T,TOTAL,FR,2019,15,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AF,T,Y18-34,FR,2015,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AF,T,Y18-34,FR,2016,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AF,T,Y18-34,FR,2017,5,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AF,T,Y18-34,FR,2018,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AF,T,Y18-34,FR,2019,5,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AF,T,Y35-64,FR,2015,5,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AF,T,Y35-64,FR,2016,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AF,T,Y35-64,FR,2017,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AF,T,Y35-64,FR,2018,5,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AF,T,Y35-64,FR,2019,5,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AF,T,Y_GE65,FR,2015,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AF,T,Y_GE65,FR,2016,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AF,T,Y_GE65,FR,2017,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AF,T,Y_GE65,FR,2019,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AF,T,Y_LT18,FR,2015,20,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AF,T,Y_LT18,FR,2016,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AF,T,Y_LT18,FR,2017,5,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AF,T,Y_LT18,FR,2018,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AF,T,Y_LT18,FR,2019,5,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AG,F,TOTAL,FR,2015,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AG,F,TOTAL,FR,2016,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AG,F,TOTAL,FR,2017,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AG,F,TOTAL,FR,2019,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AG,F,Y18-34,FR,2015,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AG,F,Y18-34,FR,2016,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AG,F,Y18-34,FR,2017,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AG,F,Y18-34,FR,2019,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AG,F,Y35-64,FR,2015,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AG,F,Y35-64,FR,2016,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AG,F,Y35-64,FR,2017,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AG,F,Y35-64,FR,2019,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AG,F,Y_GE65,FR,2015,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AG,F,Y_GE65,FR,2016,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AG,F,Y_GE65,FR,2017,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AG,F,Y_GE65,FR,2019,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AG,F,Y_LT18,FR,2015,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AG,F,Y_LT18,FR,2016,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AG,F,Y_LT18,FR,2017,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AG,F,Y_LT18,FR,2019,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AG,M,TOTAL,FR,2015,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AG,M,TOTAL,FR,2016,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AG,M,TOTAL,FR,2017,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AG,M,TOTAL,FR,2019,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AG,M,Y18-34,FR,2015,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AG,M,Y18-34,FR,2016,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AG,M,Y18-34,FR,2017,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AG,M,Y18-34,FR,2019,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AG,M,Y35-64,FR,2015,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AG,M,Y35-64,FR,2016,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AG,M,Y35-64,FR,2017,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AG,M,Y35-64,FR,2019,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AG,M,Y_GE65,FR,2015,0,
ESTAT:MIGR_ASYRESA(1.0),10/06/21 23:00:00,A,PER,AG,M,Y_GE65,FR,2016,0,
